,Fecha,Total de Fallecidos,Ruta,Tipo de Aeronave,Total A Bordo,Resumen del Incidente,Año,Tasa de Mortalidad,Descripción,Descripción,Resumen de incidente
0,,,,,,,,,"Falla presión trasera, control difícil, pérdida controles, colisión montaña, reparación incorrecta, ingenieros Boeing, golpe de cola, peor desastre aviación, Kyu Sakamoto, Sukiyaki, fallecimiento.","Falla presión trasera, control difícil, pérdida controles, colisión montaña, reparación incorrecta, ingenieros Boeing, golpe de cola, peor desastre aviación, Kyu Sakamoto, Sukiyaki, fallecimiento.","Falla presión trasera, control difícil, pérdida controles, colisión montaña, reparación incorrecta, ingenieros Boeing, golpe de cola, peor desastre aviación, Kyu Sakamoto, Sukiyaki, fallecimiento."
1,,,,,,,,,"Falta de sistema de evitación de colisiones aéreas, error de comprensión, falta de conocimiento del inglés, gestión deficiente en cabina, falta de liderazgo, falta de coordinación, actitud casual.","Falta de sistema de evitación de colisiones aéreas, error de comprensión, falta de conocimiento del inglés, gestión deficiente en cabina, falta de liderazgo, falta de coordinación, actitud casual.","Falta de sistema de evitación de colisiones aéreas, error de comprensión, falta de conocimiento del inglés, gestión deficiente en cabina, falta de liderazgo, falta de coordinación, actitud casual."
2,,,,,,,,,"Desintegración en vuelo, explosión en compartimento de carga, terrorista, Vancouver, Canadá, equipaje con bombas, vuelo 182, explosión en aeropuerto, asesinato de manipuladores de equipaje, avión 'Emperor Kanishka'.","Desintegración en vuelo, explosión en compartimento de carga, terrorista, Vancouver, Canadá, equipaje con bombas, vuelo 182, explosión en aeropuerto, asesinato de manipuladores de equipaje, avión 'Emperor Kanishka'.","Desintegración en vuelo, explosión en compartimento de carga, terrorista, Vancouver, Canadá, equipaje con bombas, vuelo 182, explosión en aeropuerto, asesinato de manipuladores de equipaje, avión 'Emperor Kanishka'."
3,,,,,,,,,"Incendio en compartimento de carga trasero, retorno al aeropuerto, retraso en evacuación, muerte por humo y fuego, decisión de no ordenar evacuación de emergencia, aterrizaje normal en lugar de máximo frenado, retraso en apagar el fuego, apertura tardía de las puertas, falta de preparación del capitán para la evacuación inmediata de la tripulación de cabina.","Incendio en compartimento de carga trasero, retorno al aeropuerto, retraso en evacuación, muerte por humo y fuego, decisión de no ordenar evacuación de emergencia, aterrizaje normal en lugar de máximo frenado, retraso en apagar el fuego, apertura tardía de las puertas, falta de preparación del capitán para la evacuación inmediata de la tripulación de cabina.","Incendio en compartimento de carga trasero, retorno al aeropuerto, retraso en evacuación, muerte por humo y fuego, decisión de no ordenar evacuación de emergencia, aterrizaje normal en lugar de máximo frenado, retraso en apagar el fuego, apertura tardía de las puertas, falta de preparación del capitán para la evacuación inmediata de la tripulación de cabina."
4,,,,,,,,,"Avión Boeing 777-200 de Malaysia Airlines vuelo 17, accidente en Donetsk, Ucrania. Impacto de misil Buk ruso, explosión cerca de la cabina, esparcimiento de escombros, todas las personas a bordo fallecieron.","Avión Boeing 777-200 de Malaysia Airlines vuelo 17, accidente en Donetsk, Ucrania. Impacto de misil Buk ruso, explosión cerca de la cabina, esparcimiento de escombros, todas las personas a bordo fallecieron.","Avión Boeing 777-200 de Malaysia Airlines vuelo 17, accidente en Donetsk, Ucrania. Impacto de misil Buk ruso, explosión cerca de la cabina, esparcimiento de escombros, todas las personas a bordo fallecieron."
5,,,,,,,,,"El avión civil iraní fue derribado por el buque de la Armada de los Estados Unidos, el U.S.S. Vincennes, utilizando misiles tierra-aire.","El avión civil iraní fue derribado por el buque de la Armada de los Estados Unidos, el U.S.S. Vincennes, utilizando misiles tierra-aire.","El avión civil iraní fue derribado por el buque de la Armada de los Estados Unidos, el U.S.S. Vincennes, utilizando misiles tierra-aire."
6,,,,,,,,,"El avión se estrelló contra una montaña de 11,500 pies de altura en malas condiciones climáticas, aproximadamente a 20 millas de su destino en Kerman. Las víctimas incluyeron a los Guardias Revolucionarios de Irán.","El avión se estrelló contra una montaña de 11,500 pies de altura en malas condiciones climáticas, aproximadamente a 20 millas de su destino en Kerman. Las víctimas incluyeron a los Guardias Revolucionarios de Irán.","El avión se estrelló contra una montaña de 11,500 pies de altura en malas condiciones climáticas, aproximadamente a 20 millas de su destino en Kerman. Las víctimas incluyeron a los Guardias Revolucionarios de Irán."
7,,,,,,,,,"Vuelo Alaska-Corea del Sur, Confusión con avión espía, Misiles aire-aire, Mar de Japón.","Vuelo Alaska-Corea del Sur, Confusión con avión espía, Misiles aire-aire, Mar de Japón.","Vuelo Alaska-Corea del Sur, Confusión con avión espía, Misiles aire-aire, Mar de Japón."
8,,,,,,,,,El avión se estrelló debido a una configuración extremadamente desequilibrada causada por el hecho de que el ajuste del estabilizador horizontal se movió automáticamente y sin ser detectado a una posición máxima de morro hacia arriba.,El avión se estrelló debido a una configuración extremadamente desequilibrada causada por el hecho de que el ajuste del estabilizador horizontal se movió automáticamente y sin ser detectado a una posición máxima de morro hacia arriba.,El avión se estrelló debido a una configuración extremadamente desequilibrada causada por el hecho de que el ajuste del estabilizador horizontal se movió automáticamente y sin ser detectado a una posición máxima de morro hacia arriba.
9,,,,,,,,,"Después de despegar, se informó de un incendio en el compartimento del tren de aterrizaje. El avión se estrelló mientras intentaba regresar al aeropuerto. Se produjo una pérdida de sistemas hidráulicos y eléctricos después de que se iniciara un incendio en la rueda cuando dos neumáticos se desintegraron debido a la falta de inflado de uno de ellos.","Después de despegar, se informó de un incendio en el compartimento del tren de aterrizaje. El avión se estrelló mientras intentaba regresar al aeropuerto. Se produjo una pérdida de sistemas hidráulicos y eléctricos después de que se iniciara un incendio en la rueda cuando dos neumáticos se desintegraron debido a la falta de inflado de uno de ellos.","Después de despegar, se informó de un incendio en el compartimento del tren de aterrizaje. El avión se estrelló mientras intentaba regresar al aeropuerto. Se produjo una pérdida de sistemas hidráulicos y eléctricos después de que se iniciara un incendio en la rueda cuando dos neumáticos se desintegraron debido a la falta de inflado de uno de ellos."
