"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","Findings","DocketUrl"
"WPR23LA081","ACC","106530","2022-12-27T19:29:00Z","Hawthorne","California","United States",,"N16DF","false","Aviation","DirectorBrief","2023-04-20T04:00:00Z","None","0","0","0","A runway overrun due to the pilot’s failure to stop the airplane as a result of diminished braking action due to a water contaminated runway surface.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Surface speed/braking - Attain/maintain not possible, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Rain - Effect on equipment, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Wet surface - Effect on equipment, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot","https://data.ntsb.gov/Docket?ProjectID=106530"
"DCA23WA102","OCC","106501","2022-12-27T18:15:00Z","Dunavecse",,"Hungary",,"EI-DCZ","false","Aviation","None",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=106501"
"WPR23LA078","ACC","106500","2022-12-27T17:35:00Z","Boulder City","Nevada","United States",,"N835GC","false","Aviation","DirectorBrief",,"Serious","0","6","1",,,"https://data.ntsb.gov/Docket?ProjectID=106500"
"GAA23WA097","ACC","106899","2022-12-27T05:00:00Z","Puerto Vallarta",,"Mexico",,"N541DW","false","Aviation","None",,"Fatal","1","1","0",,,"https://data.ntsb.gov/Docket?ProjectID=106899"
"CEN23LA072","ACC","106512","2022-12-27T05:00:00Z","Brookshire","Texas","United States",,"N282TX, N3333E","false","Aviation","DirectorBrief","2023-01-26T05:00:00Z","None","0","0","0","The P51 pilot’s failure to see and avoid the PA46 during taxi operations.","Personnel issues - Action/decision - Action - Incorrect action performance - Pilot of other aircraft","https://data.ntsb.gov/Docket?ProjectID=106512"
"ERA23LA094","ACC","106492","2022-12-26T21:35:00Z","Franklin","Virginia","United States",,"N177D","false","Aviation","DirectorBrief",,"Minor","0","0","1",,,"https://data.ntsb.gov/Docket?ProjectID=106492"
"ENG23WA007","INC","106526","2022-12-26T19:37:00Z","Mogadishu","Other Foreign","Somalia",,"C5-MAB","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106526"
"WPR23LA076","ACC","106498","2022-12-26T17:45:00Z","Morgan","Utah","United States",,"N210CU","false","Aviation","DirectorBrief",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106498"
"GAA23WA076","ACC","106772","2022-12-26T15:50:00Z","Wedderburn",,"Australia",,"N600","false","Aviation","None",,"Fatal","2","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106772"
"ERA23LA095","ACC","106494","2022-12-26T15:20:00Z","Hampton","New Hampshire","United States",,"N2895Z","false","Aviation","DirectorBrief",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106494"
"CEN23LA070","ACC","106509","2022-12-26T14:30:00Z","Navasota","Texas","United States",,"N26625","false","Aviation","DirectorBrief","2023-02-09T05:00:00Z","None","0","0","0","The student pilot failed to maintain directional control during landing.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained","https://data.ntsb.gov/Docket?ProjectID=106509"
"CEN23LA069","ACC","106503","2022-12-26T13:00:00Z","South St. Paul","Minnesota","United States",,"N51115","false","Aviation","DirectorBrief","2023-03-30T04:00:00Z","None","0","0","0","The student pilot’s failure to maintain directional control during the take-off roll with a snow and ice covered runway.","Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Snow/slush/ice covered surface - Effect on equipment, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained","https://data.ntsb.gov/Docket?ProjectID=106503"
"WPR23LA075","ACC","106497","2022-12-26T12:50:00Z","Payson","Arizona","United States",,"N749PJ","false","Aviation","DirectorBrief","2023-01-25T05:00:00Z","None","0","0","0","The pilot’s loss of directional control during the landing roll, which resulted in a runway excursion.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot","https://data.ntsb.gov/Docket?ProjectID=106497"
"ERA23LA093","ACC","106491","2022-12-26T11:15:00Z","Annapolis","Maryland","United States",,"N1867H","false","Aviation","DirectorBrief",,"Minor","0","0","1",,,"https://data.ntsb.gov/Docket?ProjectID=106491"
"DCA23WA161","ACC","106713","2022-12-26T11:00:00Z","Bremen","Other Foreign","Germany",,"EI-HEY","false","Aviation","None",,"Serious","0","1","0",,,"https://data.ntsb.gov/Docket?ProjectID=106713"
"ENG23WA006","INC","106525","2022-12-26T05:43:00Z","Mogadishu","Other Foreign","Somalia",,"ET-APL","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106525"
"GAA23WA051","ACC","106531","2022-12-25T16:52:00Z","Bulman",,"Australia",,"VH-TFT","false","Aviation","None",,"Fatal","2","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106531"
"WPR23LA077","ACC","106499","2022-12-24T17:53:00Z","Livermore","California","United States",,"N65Y","false","Aviation","DirectorBrief",,"Serious","0","1","0",,,"https://data.ntsb.gov/Docket?ProjectID=106499"
"DCA23LA107","ACC","106510","2022-12-24T05:00:00Z","Miami","Florida","United States",,"N456FX","false","Aviation","DirectorBrief","2023-04-20T04:00:00Z","Serious","0","1","0","An unanticipated encounter with convective induced turbulence from developing cumulus clouds below the flight path, which produced strong updrafts and downdrafts.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on operation, Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Awareness of condition, Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel","https://data.ntsb.gov/Docket?ProjectID=106510"
"GAA23WA046","ACC","106502","2022-12-22T07:20:00Z","Brasnorte","Other Foreign","Brazil",,"PP-IRC","false","Aviation","None",,"Fatal","1","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106502"
"WPR23FA073","ACC","106489","2022-12-22T05:00:00Z","Santa Monica","California","United States",,"N7032X","false","Aviation","DirectorBrief",,"Fatal","1","0","1",,,"https://data.ntsb.gov/Docket?ProjectID=106489"
"CEN23LA068","ACC","106486","2022-12-21T20:54:00Z","Reserve","Louisiana","United States",,"N321GD","false","Aviation","DirectorBrief",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106486"
"CEN23LA067","ACC","106483","2022-12-21T15:47:00Z","Auburn Hills","Michigan","United States",,"N8786U","false","Aviation","DirectorBrief",,"Minor","0","0","1",,,"https://data.ntsb.gov/Docket?ProjectID=106483"
"ENG23WA011","INC","106564","2022-12-20T18:43:00Z","Geneva",,"Switzerland",,"M-KNOX","false","Aviation","None",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=106564"
"GAA23WA094","ACC","106888","2022-12-20T16:10:00Z","Vélez-Málaga",,"Spain",,"N78VE","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106888"
"CEN23LA091","ACC","106625","2022-12-19T20:15:00Z","Pocahantas","Iowa","United States",,"2930J","false","Aviation","DirectorBrief","2023-04-20T04:00:00Z","None","0","0","0","The pilot’s landing flare which resulted in a bounced landing and the nose landing gear collapsing. Contributing to the accident was the airplane's encounter with adverse weather conditions which led to structural icing that affected flight characteristics and obscured the pilot's vision. Also contributing to the accident were the self-induced and external pressures that influenced the pilot’s decision to initiate and continue the flight.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Personnel issues - Task performance - Planning/preparation - Weather planning - Pilot, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Obscuration - Contributed to outcome, Environmental issues - Conditions/weather/phenomena - Light condition - Dark - Effect on operation, Personnel issues - Psychological - Personality/attitude - Motivation/respond to pressure - Pilot","https://data.ntsb.gov/Docket?ProjectID=106625"
"CEN23LA066","ACC","106479","2022-12-19T16:05:00Z","Harrison","Arkansas","United States",,"N8137P","false","Aviation","DirectorBrief",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106479"
"WPR23LA085","ACC","106555","2022-12-19T05:00:00Z","Benson","Arizona","United States",,"N518DT","false","Aviation","DirectorBrief","2023-03-02T05:00:00Z","Minor","0","0","1","A loss of directional control on takeoff, which resulted in the collapse of the nose wheel strut and a runway excursion.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained","https://data.ntsb.gov/Docket?ProjectID=106555"
"WPR23LA070","ACC","106476","2022-12-18T15:25:00Z","Afton","Wyoming","United States",,"N78HJ","false","Aviation","DirectorBrief",,"Minor","0","0","2",,,"https://data.ntsb.gov/Docket?ProjectID=106476"
"WPR23LA071","ACC","106477","2022-12-18T15:25:00Z","San Manual","Arizona","United States",,"N4144P","false","Aviation","DirectorBrief","2023-01-25T05:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control during landing which, resulted in a runway excursion.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained","https://data.ntsb.gov/Docket?ProjectID=106477"
"DCA23LA096","ACC","106472","2022-12-18T11:07:00Z","Kahului","Hawaii","United States",,"N393HA","false","Aviation","DirectorBrief",,"Serious","0","6","19",,,"https://data.ntsb.gov/Docket?ProjectID=106472"
"DCA23WA097","OCC","106473","2022-12-18T05:00:00Z","Guatemala City","Other Foreign","Guatemala",,"N87531","false","Aviation","None",,"Serious","0","1","0",,,"https://data.ntsb.gov/Docket?ProjectID=106473"
"DCA23LA172","INC","106734","2022-12-18T01:51:00Z","Kahului","Hawaii","United States",,"N212UA","false","Aviation","DirectorBrief",,,"0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106734"
"WPR23LA074","ACC","106496","2022-12-17T12:00:00Z","Cottonwood","California","United States",,"N9YA","false","Aviation","DirectorBrief","2023-04-27T04:00:00Z","Minor","0","0","1","The pilot’s fuel mismanagement which resulted in fuel starvation and a total loss of engine power.","Personnel issues - Action/decision - Action - Incorrect action selection - Pilot, Personnel issues - Task performance - Use of equip/info - Use of policy/procedure - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid management","https://data.ntsb.gov/Docket?ProjectID=106496"
"GAA23WA074","ACC","106761","2022-12-17T05:00:00Z","Gunung Mas Regency",,"Indonesia",,"PK-PND","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106761"
"ERA23LA091","ACC","106470","2022-12-16T16:15:00Z","Brooksville","Florida","United States",,"N5405V","false","Aviation","DirectorBrief",,"Minor","0","0","1",,,"https://data.ntsb.gov/Docket?ProjectID=106470"
"WPR23LA100","ACC","106654","2022-12-15T21:45:00Z","Deming","New Mexico","United States",,"N29447","false","Aviation","DirectorBrief","2023-03-30T04:00:00Z",,"0","0","0","The occupant’s improper throttle movement during the start procedure, which resulted in forward movement and loss of airplane control.","Personnel issues - Task performance - Use of equip/info - Use of equip/system - Other, Personnel issues - Task performance - Use of equip/info - Aircraft control - Other","https://data.ntsb.gov/Docket?ProjectID=106654"
"ERA23LA154","ACC","106911","2022-12-15T15:20:00Z","Lexington","Kentucky","United States",,"N3844C","false","Aviation","DirectorBrief",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106911"
"CEN23LA065","ACC","106464","2022-12-15T11:56:00Z","Denton","Texas","United States",,"N221MF, N21462","false","Aviation","DirectorBrief","2023-03-02T05:00:00Z","None","0","0","0","The pilot’s failure to maintain clearance from another airplane while taxing in the run-up area.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - (general) - Not attained/maintained","https://data.ntsb.gov/Docket?ProjectID=106464"
"CEN23LA064","ACC","106462","2022-12-15T09:15:00Z","Patterson","Louisiana","United States",,"N414RL","false","Aviation","DirectorBrief",,"Minor","0","0","3",,,"https://data.ntsb.gov/Docket?ProjectID=106462"
"ANC23LA009","ACC","106474","2022-12-15T05:00:00Z","Lihue","Hawaii","United States",,"N991AB","false","Aviation","DirectorBrief",,"Serious","0","1","1",,,"https://data.ntsb.gov/Docket?ProjectID=106474"
"ANC23FA008","ACC","106468","2022-12-15T05:00:00Z","Kaupo","Hawaii","United States",,"N13GZ","false","Aviation","DirectorBrief",,"Fatal","3","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106468"
"GAA23WA042","ACC","106459","2022-12-14T15:15:00Z","Happy Valley-Goose Bay","Other Foreign","Canada",,"N5EQ","false","Aviation","None",,"Fatal","1","1","0",,,"https://data.ntsb.gov/Docket?ProjectID=106459"
"ERA23LA090","ACC","106463","2022-12-14T11:45:00Z","San Juan","Puerto Rico","United States",,"N416PC","false","Aviation","DirectorBrief",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106463"
"WPR23LA072","ACC","106480","2022-12-13T20:00:00Z","Liberal","Kansas","United States",,"N253SB","false","Aviation","DirectorBrief","2023-03-02T05:00:00Z","None","0","0","0","The pilot’s inadequate preflight inspection, failure to set the parking brake, and his decision to exit the airplane with engines running to remove a wheel chock, resulting in the airplane’s unintended movement and subsequent collision with a hangar.","Personnel issues - Action/decision - Action - Incorrect action sequence - Pilot, Personnel issues - Task performance - Inspection - Preflight inspection - Pilot, Aircraft - Aircraft power plant - Engine controls - (general) - Incorrect use/operation, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot","https://data.ntsb.gov/Docket?ProjectID=106480"
"ERA23LA089","ACC","106461","2022-12-13T12:00:00Z","Rockingham","North Carolina","United States",,"N498DS","false","Aviation","DirectorBrief",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106461"
"WPR23LA065","ACC","106455","2022-12-13T11:06:00Z","Lewistown","Montana","United States",,"C-GZPU","false","Aviation","DirectorBrief","2023-03-02T05:00:00Z","None","0","0","0","The pilot’s improper landing flare, which resulted in a hard landing. Contributing to the accident was the out of service visual glideslope indicator and snow obscuring the runway markings.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained, Environmental issues - Operating environment - Approach aid coverage/avail - Visual approach aid - Effect on operation, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Snow - Effect on operation","https://data.ntsb.gov/Docket?ProjectID=106455"
"ERA23FA087","ACC","106451","2022-12-13T10:25:00Z","Kellyton","Alabama","United States",,"N74586","false","Aviation","DirectorBrief",,"Fatal","1","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106451"
"CEN23LA062","ACC","106448","2022-12-12T21:05:00Z","Carrollton","Texas","United States",,"N231GZ","false","Aviation","DirectorBrief",,"Serious","0","2","0",,,"https://data.ntsb.gov/Docket?ProjectID=106448"
"WPR23LA066","ACC","106456","2022-12-12T18:35:00Z","Yuba City","California","United States",,"N415RX","false","Aviation","DirectorBrief","2023-02-09T05:00:00Z",,"0","0","0","An in-flight collision with a bird while in cruise flight.","Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on equipment, Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Ability to respond/compensate","https://data.ntsb.gov/Docket?ProjectID=106456"
"ERA23LA085","ACC","106444","2022-12-12T14:50:00Z","Knoxville","Tennessee","United States",,"N783SF","false","Aviation","DirectorBrief","2023-02-23T05:00:00Z","None","0","0","0","The pilot’s loss of directional control during engine start.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot","https://data.ntsb.gov/Docket?ProjectID=106444"
"GAA22WA311","ACC","106449","2022-12-11T16:45:00Z","Kildare",,"Ireland",,"N999RL","false","Aviation","None",,"Fatal","1","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106449"
"WPR23LA068","ACC","106469","2022-12-11T15:17:00Z","Rancho Cordova","California","United States",,"N255SD","false","Aviation","DirectorBrief",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106469"
"ERA23LA084","ACC","106440","2022-12-11T13:45:00Z","Gilgo-Oak Beach-Captree","New York","United States",,"N14HT","false","Aviation","DirectorBrief",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106440"
"ERA23LA088","ACC","106460","2022-12-10T17:30:00Z","Alabaster","Alabama","United States",,"N5301G","false","Aviation","DirectorBrief",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106460"
"WPR23LA062","ACC","106441","2022-12-10T12:10:00Z","Socorro","New Mexico","United States",,"N422B","false","Aviation","DirectorBrief","2023-05-04T04:00:00Z","None","0","0","0","The pilot’s improper landing flare, which resulted in a hard bounced landing and loss of control in gusting wind.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Student/instructed pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained, Environmental issues - Conditions/weather/phenomena - Turbulence - Terrain induced turbulence - Effect on operation","https://data.ntsb.gov/Docket?ProjectID=106441"
"ERA23LA083","ACC","106438","2022-12-09T22:00:00Z","Hawkinsville","Georgia","United States",,"N160PT","false","Aviation","DirectorBrief","2023-02-23T05:00:00Z","Minor","0","0","1","The pilot’s inadequate in-flight decision-making, which resulted in a total loss of engine power due to fuel exhaustion.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level","https://data.ntsb.gov/Docket?ProjectID=106438"
"WPR23LA064","ACC","106443","2022-12-09T12:05:00Z","Casa Grande","Arizona","United States",,"190DK","false","Aviation","DirectorBrief","2023-02-09T05:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control during the landing roll.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained","https://data.ntsb.gov/Docket?ProjectID=106443"
"ERA23LA086","ACC","106447","2022-12-08T19:10:00Z","Covington","Georgia","United States",,"N900AW","false","Aviation","DirectorBrief",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106447"
"ANC23LA017","ACC","106662","2022-12-08T15:00:00Z","Wasilla","Alaska","United States",,"N3861P","false","Aviation","DirectorBrief","2023-04-06T04:00:00Z","None","0","0","0","The pilot's selection of an unsuitable landing site, which resulted in a nose over after the main landing gear wheels broke through deep snow on the snow-covered runway.","Aircraft - Aircraft oper/perf/capability - Aircraft capability - (general) - Capability exceeded, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Instructor/check pilot, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Snow/slush/ice covered surface - Contributed to outcome","https://data.ntsb.gov/Docket?ProjectID=106662"
"WPR23LA084","ACC","106541","2022-12-08T14:50:00Z","Maricopa","Arizona","United States",,"N30WL","false","Aviation","DirectorBrief",,"Minor","0","0","2",,,"https://data.ntsb.gov/Docket?ProjectID=106541"
"WPR23LA063","ACC","106442","2022-12-08T12:15:00Z","La Sal","Utah","United States",,"N458HW","false","Aviation","DirectorBrief","2023-01-25T05:00:00Z","None","0","0","0","The pilot’s failure to maintain clearance from terrain during a toe-in landing to sloping terrain which resulted in a loss of helicopter control.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Personnel issues - Psychological - Attention/monitoring - Task monitoring/vigilance - Pilot, Environmental issues - Physical environment - Terrain - Sloped/uneven terrain - Effect on operation","https://data.ntsb.gov/Docket?ProjectID=106442"
"DCA23LA093","ACC","106439","2022-12-08T05:00:00Z","Newark","New Jersey","United States",,"N649UA","false","Aviation","DirectorBrief",,"Serious","0","1","3",,,"https://data.ntsb.gov/Docket?ProjectID=106439"
"WPR23LA061","ACC","106435","2022-12-07T17:42:00Z","Waimea","Hawaii","United States",,"N130WS","false","Aviation","DirectorBrief","2023-03-15T04:00:00Z","Minor","0","0","1","The pilot's loss of helicopter control on approach to land due to entering a vortex ring state condition, which resulted in a hard landing.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent/approach/glide path - Not attained/maintained","https://data.ntsb.gov/Docket?ProjectID=106435"
"WPR23LA059","ACC","106430","2022-12-07T14:15:00Z","Ft Worth","Texas","United States",,"N2036F","false","Aviation","DirectorBrief","2023-05-04T04:00:00Z","None","0","0","0","The pilot’s improper landing flare, which resulted in a hard landing. Contributing to the accident, was the flight instructor’s inadequate supervision.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Student/instructed pilot, Personnel issues - Task performance - Use of equip/info - Aircraft control - Student/instructed pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained, Personnel issues - Psychological - Attention/monitoring - Monitoring other person - Instructor/check pilot","https://data.ntsb.gov/Docket?ProjectID=106430"
"CEN23LA063","ACC","106450","2022-12-06T10:30:00Z","Mission","Texas","United States",,"N4205X","false","Aviation","DirectorBrief","2023-05-04T04:00:00Z","None","0","0","0","The pilot's failure to maintain clearance from an electrical box.","Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Environmental issues - Physical environment - Object/animal/substance - Wall/barricade - Awareness of condition","https://data.ntsb.gov/Docket?ProjectID=106450"
"CEN23FA060","ACC","106419","2022-12-05T22:16:00Z","Yukon","Oklahoma","United States",,"N9142Q","false","Aviation","DirectorBrief",,"Fatal","3","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106419"
"CEN23LA061","ACC","106422","2022-12-05T18:26:00Z","St. Louis","Missouri","United States",,"N602TG","false","Aviation","DirectorBrief",,"Minor","0","0","2",,,"https://data.ntsb.gov/Docket?ProjectID=106422"
"GAA23WA043","ACC","106471","2022-12-05T18:20:00Z","PONTA GROSSA","Other Foreign","Brazil",,"PT-WBH","false","Aviation","None",,"Minor","0","0","1",,,"https://data.ntsb.gov/Docket?ProjectID=106471"
"DCA23WA091","ACC","106433","2022-12-05T15:29:00Z","Dortmund",,"Germany",,"EI-DLV","false","Aviation","None",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=106433"
"CEN23FA059","ACC","106417","2022-12-05T13:38:00Z","Corning","Iowa","United States",,"N99345","false","Aviation","DirectorBrief",,"Fatal","1","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106417"
"ERA23LA080","ACC","106421","2022-12-05T12:09:00Z","Woodsfield","Ohio","United States",,"N257ED","false","Aviation","DirectorBrief",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106421"
"DCA23WA100","INC","106485","2022-12-05T05:00:00Z","Bangkok",,"Thailand",,"HS-LUZ","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106485"
"CEN23FA057","ACC","106408","2022-12-04T21:56:00Z","Cleburne","Texas","United States",,"N8149Z","false","Aviation","DirectorBrief",,"Fatal","2","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106408"
"ERA23FA078","ACC","106407","2022-12-04T12:35:00Z","Beverly","Massachusetts","United States",,"N401GR","false","Aviation","DirectorBrief",,"Fatal","1","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106407"
"WPR23LA054","ACC","106424","2022-12-04T11:15:00Z","Fergus Falls","Minnesota","United States",,"N926HM","false","Aviation","DirectorBrief","2023-01-09T05:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control during the takeoff roll, resulting in a runway excursion.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained","https://data.ntsb.gov/Docket?ProjectID=106424"
"ERA23FA079","ACC","106409","2022-12-03T20:38:00Z","Venice","Florida","United States",,"N4676F","false","Aviation","DirectorBrief",,"Fatal","3","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106409"
"CEN23LA058","ACC","106415","2022-12-03T17:09:00Z","Regent","North Dakota","United States",,"N7659X","false","Aviation","DirectorBrief","2023-03-02T05:00:00Z","Minor","0","0","3","The pilot failed to maintain clearance from high tension wires while maneuvering at low altitude.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained, Environmental issues - Physical environment - Object/animal/substance - Wire - Awareness of condition, Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot","https://data.ntsb.gov/Docket?ProjectID=106415"
"WPR23LA053","ACC","106416","2022-12-03T12:00:00Z","Morgan","Utah","United States",,"N60WY","false","Aviation","DirectorBrief","2023-02-09T05:00:00Z","None","0","0","0","The pilot’s failure to maintain clearance from snow covered terrain while maneuvering at low attitude. Contributing to the accident was the pilot’s loss of visual reference due to snow and flat light conditions.","Environmental issues - Conditions/weather/phenomena - Light condition - Flat light - Effect on personnel, Personnel issues - Psychological - Perception/orientation/illusion - Visual illusion/disorientation - Pilot, Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Snow/slush/ice covered surface - Response/compensation","https://data.ntsb.gov/Docket?ProjectID=106416"
